OBJECTID,Sample_buffer_ID,Alt_ID,Sample_ID,Radius,OBJECTID,Set_Sample_ID,Type,Shape_Length (sqkm),Shape_Area (sqkm),Train,Tram,Bus,Patronage_Train,Patronage_Tram,Updated_Patronage_Bus,SS_Patronage_Bus,1_Emp,2_EmpDen,3_Pop,4_PopDen,5_Dwelling,6_ActDen,7_PropComm,8_RetailEmp,9_Balance,10_Entropy,11_HousingDiv,12_Intersections,13_PBN,14_DestScore,15_DestCount,16_DistCBD,17_ACCount,18_ACNear,19_FTZ,20_LOS,21_PropFTE,22_MedInc,23_MeanSize,24_Urban,25_Rural,26_Access,27_IntDensity
21,104-800,104-800-D,104,800,21,D,Trainbus,5.20709199,1.515407463,1,0,3,4617.168513,0,1681.6,3421.343687,2182.309276,1440.080855,3803.586584,2509.943151,1016.852985,3950.024006,0.369009748,174.3717669,0.809497892,0.145829409,7,253,82.60767144,4,33,2041.939121,0,2041.939121,0,78.61538462,0.647058824,800,2.468344184,0.838190945,0,499815.6611,166.9517976
2195,104-800,104-800-C,104,800,2195,C,Trainbus,4.942931274,1.339156273,1,0,3,4617.168513,0,1681.6,3421.343687,1787.391729,1334.714823,3503.874015,2616.478812,1060.059292,3951.193635,0.36118867,164.2753811,0.844884333,0.142921606,7,253,82.60767144,4,26,2041.939121,0,2041.939121,0,78.61538462,0.655963303,800,2.468238175,0.861320544,0,499815.6611,188.9249262
2625,104-600,104-600-C,104,600,2625,C,Trainbus,3.581851323,0.812255943,1,0,3,4617.168513,0,1681.6,3421.343687,1047.268108,1289.33265,2322.57334,2859.410705,1147.975605,4148.743355,0.356293336,160.2730323,0.912909413,0.141469602,6,151,82.60767144,3,11,2041.939121,0,2041.939121,0,78.61538462,0.671352584,800,2.490828806,0.883442802,0,499815.6611,185.9019947
3115,104-400,104-400-C,104,400,3115,C,Trainbus,2.503990271,0.389647462,1,0,3,4617.168513,0,1681.6,3421.343687,514.7400282,1321.040374,1241.654028,3186.608794,1273.006389,4507.649168,0.41650013,164.167144,0.960642478,0.139561318,6,80,82.60767144,1,6,2041.939121,0,2041.939121,0,78.61538462,0.66742988,800,2.503215082,0.840665138,0,499815.6611,205.3137972
802,34-400,34-400-D,34,400,802,D,Trainbus,2.662194555,0.443990665,1,0,5,5968.169167,0,2960.6,1368.897604,206.3432263,464.7467674,369.9130777,833.1550795,341.6742486,1297.901847,0.519954941,147.900791,0.85388298,0.144816312,5,80,61.68090638,6,24,16347.13217,0,1710.640177,0,278.6923077,0.599326599,300,2.43844856,0.37043094,0,25667.25633,180.1839685
803,34-600,34-600-D,34,600,803,D,Trainbus,4.119961373,0.885745929,1,0,5,5968.169167,0,2960.6,1368.897604,411.6475696,464.7467815,982.7691239,1109.538404,437.7247467,1574.285185,0.480115654,147.9007955,0.788797735,0.16627019,6,114,61.68090638,6,28,16347.13217,0,1710.640177,0,278.6923077,0.589490114,300,2.534785643,0.404202747,0,25667.25633,128.7050793
804,34-800,34-800-D,34,800,804,D,Trainbus,5.990201263,1.520151776,1,0,5,5968.169167,0,2960.6,1368.897604,706.4856626,464.7467931,1997.597576,1314.077718,493.4061795,1778.824511,0.436793064,147.9007991,0.707803896,0.181916651,6,169,61.68090638,6,36,16347.13217,0,1710.640177,0,278.6923077,0.580831826,500,2.663277786,0.41039784,0,25667.25633,111.1731096
1985,34-800,34-800-C,34,800,1985,C,Trainbus,5.427552957,1.363708373,1,0,5,5968.169167,0,2960.6,1368.897604,633.7790932,464.7467931,1741.472195,1277.012174,483.7297971,1741.758967,0.444013816,147.9007992,0.727202575,0.180087681,6,169,61.68090638,6,34,16347.13217,0,1710.640177,0,278.6923077,0.590268304,500,2.6399287,0.405281989,0,25667.25633,123.9267891
2790,34-600,34-600-C,34,600,2790,C,Trainbus,3.664927384,0.782473877,1,0,5,5968.169167,0,2960.6,1368.897604,363.6522247,464.7467927,820.3186134,1048.365495,418.4771435,1513.112288,0.485183663,147.900799,0.801169818,0.16406562,6,114,61.68090638,6,27,16347.13217,0,1710.640177,0,278.6923077,0.589490114,300,2.505191768,0.398240527,0,25667.25633,145.6917647
3193,34-400,34-400-C,34,400,3193,C,Trainbus,2.392902495,0.365448014,1,0,5,5968.169167,0,2960.6,1368.897604,169.8407927,464.746793,262.8211847,719.175298,300.5312156,1183.922091,0.53531775,147.9007991,0.860195858,0.140630912,5,80,61.68090638,6,22,16347.13217,0,1710.640177,0,278.6923077,0.595959596,300,2.393013639,0.343528611,0,25667.25633,218.909385
1615,99-400,99-400-D,99,400,1615,D,Trainbus,2.09543028,0.293217029,1,0,8,5872.798087,0,1926.1,1422.375022,234.9833393,801.3973128,601.2116853,2050.398256,827.1654044,2851.795569,0.164244484,355.6383491,0.903206655,0.164564259,6,57,56.05015,5,30,23449.48198,0,302.7405987,0,291.8461538,0.568113772,300,2.478824966,0.803544126,0,46804.90734,194.395258
1616,99-600,99-600-D,99,600,1616,D,Trainbus,3.356086738,0.627362694,1,0,8,5872.798087,0,1926.1,1422.375022,502.7667767,801.3973128,1354.426193,2158.92052,887.5044193,2960.317833,0.229847418,355.6383491,0.812669204,0.159359414,6,102,56.05015,5,54,23449.48198,1,302.7405987,0,291.8461538,0.569761542,300,2.432574389,0.868615174,0,46804.90734,162.5853768
1617,99-800,99-800-D,99,800,1617,D,Trainbus,4.804390775,1.116865184,1,0,8,5872.798087,0,1926.1,1422.375022,895.0527575,801.3973128,2386.52976,2136.810954,892.2432974,2938.208267,0.2632743,355.6383491,0.686504847,0.16348675,6,144,56.05015,6,70,23449.48198,1,302.7405987,0,291.8461538,0.591700982,300,2.394874761,0.863337085,0,46804.90734,128.9323027
